0001:,0002:,0201:,0202:,0203:,2174:,8001:,2951:,2166:,2167:,2175:,2179:,2953:,2954:,2177:,2990:,2991:,2178:,2992:,2993:,2994:,2995:,2996:,2997:,2998:,2999:
SFM002,2,011300,基隆復興營業所,,1,1,0082,1,1,3,3,1,1,0,0,0,0,0,0,,,,,082F1,1021
SFM002,2,011600,基隆精一營業所,,1,2,0092,1,1,3,3,1,1,0,0,0,0,0,0,,,,,092F1,1031
SFM002,2,011800,暖暖營業所,,1,3,0102,1,1,3,3,1,1,0,0,0,0,0,0,,,,,102F1,1041
SFM002,2,011900,基隆義二營業所,,1,4,0072,1,1,3,3,1,1,0,0,0,0,0,0,,,,,072E1,1011
SFM002,2,012000,基隆中正營業所,,1,5,0072,1,1,3,3,1,1,0,0,0,0,0,0,,,,,072F1,1011
SFM002,2,012100,基隆新豐營業所,,1,6,0102,1,1,3,3,1,1,0,0,0,0,0,0,,,,,102E1,1031
SFM002,2,012400,基隆信義營業所,,1,7,0072,1,1,3,3,1,1,0,0,0,0,0,0,,,,,072F2,1021
SFM002,2,012700,大武崙營業所,,1,8,0082,1,1,3,3,1,1,0,0,0,0,0,0,,,,,082E2,1021
SFM002,2,012900,基隆武隆營業所,,1,9,0092,1,1,3,3,1,1,0,0,0,0,0,0,,,,,092E2,1031
SFM002,2,013000,基隆源遠營業所,,1,10,0112,1,1,3,3,1,1,0,0,0,0,0,0,,,,,112E2,1041
SFM002,2,013100,基隆樂利營業所,,1,11,0092,1,1,3,3,1,1,0,0,0,0,0,0,,,,,092F2,1031
SFM002,2,013200,基隆百三營業所,,1,12,0112,1,1,3,3,1,1,0,0,0,0,0,0,,,,,112E1,1041
SFM002,2,030100,五股營業所,,1,13,0012,1,1,3,3,1,1,0,0,0,0,0,0,,,,,012F1,2011
SFM002,2,030800,金山營業所,,1,14,0092,1,1,3,3,1,1,0,0,0,0,0,0,,,,,092E1,1021
SFM002,2,033800,蘆洲民族營業所,,1,15,0012,1,1,3,3,1,1,0,0,0,0,0,0,,,,,012G3,2031
SFM002,2,033900,台北縣永樂營業所,,1,16,0012,1,1,3,3,1,1,0,0,0,0,0,0,,,,,012F2,2011
SFM002,2,036200,瑞芳中正營業所,,1,17,0102,1,1,3,3,1,1,0,0,0,0,0,0,,,,,102E2,1041
SFM002,2,036300,蘆洲長安營業所,,1,18,0012,1,1,3,3,1,1,0,0,0,0,0,0,,,,,012F3,2021
SFM002,2,037600,五股工商營業所,,1,19,0012,1,1,3,3,1,1,0,0,0,0,0,0,,,,,012G1,2021
SFM002,2,039500,蘆洲中原營業所,,1,20,0012,1,1,3,3,1,1,0,0,0,0,0,0,,,,,012G2,2021
SFM002,2,041300,桃園南崁二營業所,,1,21,0022,1,1,3,3,1,1,0,0,0,0,0,0,,,,,022F2,4011
SFM002,2,041900,龜山文化營業所,,1,22,0011,1,1,3,3,1,1,0,0,0,0,0,0,,,,,011A1,4021
SFM002,2,042000,蘆竹吉林營業所,,1,23,0022,1,1,3,3,1,1,0,0,0,0,0,0,,,,,022E1,4011
SFM002,2,043600,林口復興營業所,,1,24,0011,1,1,3,3,1,1,0,0,0,0,0,0,,,,,011A3,4021
SFM002,2,043700,蘆竹光明營業所,,1,25,0011,1,1,3,3,1,1,0,0,0,0,0,0,,,,,011A4,4021
SFM002,2,210000,花蓮重慶營業所,,1,26,0062,1,1,3,3,1,1,0,0,0,0,0,0,,,,,062E2,3011
SFM002,2,210100,花蓮慶豐營業所,,1,27,0032,1,1,3,3,1,1,0,0,0,0,0,0,,,,,032E1,3041
SFM002,2,210200,花蓮玉里二營業所,,1,28,0052,1,1,3,3,1,1,0,0,0,0,0,0,,,,,052F1,3021
SFM002,2,210300,花蓮林森營業所,,1,29,0062,1,1,3,3,1,1,0,0,0,0,0,0,,,,,062F2,3011
SFM002,2,210400,花蓮玉里營業所,,1,30,0052,1,1,3,3,1,1,0,0,0,0,0,0,,,,,052E1,3021
SFM002,2,210500,花蓮美崙營業所,,1,31,0042,1,1,3,3,1,1,0,0,0,0,0,0,,,,,042E2,3031
SFM002,2,210600,花蓮瑞穗營業所,,1,32,0052,1,1,3,3,1,1,0,0,0,0,0,0,,,,,052E2,3021
SFM002,2,210700,花蓮太昌營業所,,1,33,0062,1,1,3,3,1,1,0,0,0,0,0,0,,,,,062E1,3011
SFM002,2,210900,花蓮壽豐營業所,,1,34,0032,1,1,3,3,1,1,0,0,0,0,0,0,,,,,032F1,3041
SFM002,2,211000,花蓮營業所,,1,35,0042,1,1,3,3,1,1,0,0,0,0,0,0,,,,,042F1,3031
SFM002,2,211100,花蓮中正營業所,,1,36,0062,1,1,3,3,1,1,0,0,0,0,0,0,,,,,062F1,3011
SFM002,2,211200,花蓮吉安營業所,,1,37,0042,1,1,3,3,1,1,0,0,0,0,0,0,,,,,042F2,3031
SFM002,2,211300,花蓮鳳林營業所,,1,38,0032,1,1,3,3,1,1,0,0,0,0,0,0,,,,,032E2,3041
SFM002,2,211400,花蓮建國營業所,,1,39,0042,1,1,3,3,1,1,0,0,0,0,0,0,,,,,042E1,3031
SFM002,2,211500,花蓮光復營業所,,1,40,0052,1,1,3,3,1,1,0,0,0,0,0,0,,,,,052F2,3021
SFM002,2,301700,五股成泰營業所,,1,41,0012,1,1,3,3,1,1,0,0,0,0,0,0,,,,,012F4,2021
SFM002,2,301900,林口民有營業所,,1,42,0011,1,1,3,3,1,1,0,0,0,0,0,0,,,,,011B1,4031
SFM002,2,302300,林口麗都營業所,,1,43,0022,1,1,3,3,1,1,0,0,0,0,0,0,,,,,022E2,4011
SFM002,2,751500,龜山公園營業所,,1,44,0011,1,1,3,3,1,1,0,0,0,0,0,0,,,,,011A2,4021
SFM002,2,752100,蘆洲民權營業所,,1,45,0012,1,1,3,3,1,1,0,0,0,0,0,0,,,,,012E2,2011
SFM002,2,810000,基隆東明營業所,,1,46,0082,1,1,3,3,1,1,0,0,0,0,0,0,,,,,082E1,1011
SFM002,2,810100,基隆仁三營業所,,1,47,0072,1,1,3,3,1,1,0,0,0,0,0,0,,,,,072E2,1011
SFM002,2,831500,林口竹林店,,1,48,0011,1,1,3,3,1,1,0,0,0,0,0,0,,,,,011B2,4031
SFM002,2,832000,蘆洲忠孝營業所,,1,49,0012,1,1,3,3,1,1,0,0,0,0,0,0,,,,,012E1,2011
SFM002,2,842800,楊聯蘆竹忠孝營業所,,1,50,0022,1,1,3,3,1,1,0,0,0,0,0,0,,,,,022F1,4011
